epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1712,1.44832,3.25438,1.24132,0.90199,0.19887,0.5379,0.319,1.2782,2.98631,1.06789,0.000298905,0.000298905,0.000298905
2,25.1375,1.33637,1.80753,1.1683,0.85301,0.82371,0.87595,0.58977,1.20501,1.20137,1.05592,0.000582043,0.000582043,0.000582043
3,35.6684,1.28919,1.48365,1.16215,0.87179,0.92969,0.92728,0.61149,1.22884,1.01001,1.09815,0.000845182,0.000845182,0.000845182
4,46.4346,1.25998,1.33294,1.14866,0.92229,0.90797,0.9447,0.66823,1.14163,0.82723,1.05873,0.000819009,0.000819009,0.000819009
5,56.967,1.23997,1.20713,1.14597,0.93175,0.81493,0.94039,0.65428,1.13568,0.96413,1.06807,0.000789012,0.000789012,0.000789012
6,67.7493,1.21246,1.0886,1.13641,0.91469,0.94607,0.95915,0.65429,1.1841,0.78728,1.10159,0.000759015,0.000759015,0.000759015
7,78.3157,1.17222,1.02041,1.12489,0.92668,0.9373,0.95711,0.68242,1.11349,0.73563,1.06431,0.000729018,0.000729018,0.000729018
8,88.7162,1.13737,0.92277,1.09854,0.93812,0.94964,0.96821,0.68556,1.13698,0.7132,1.07565,0.000699021,0.000699021,0.000699021
9,99.8693,1.11792,0.87243,1.10009,0.95262,0.9056,0.95875,0.66351,1.13843,0.70355,1.05807,0.000669024,0.000669024,0.000669024
10,110.371,1.07912,0.82205,1.08326,0.95487,0.93322,0.96223,0.69863,1.04162,0.65573,1.01545,0.000639027,0.000639027,0.000639027
11,120.782,1.04343,0.78321,1.05571,0.96784,0.94197,0.97364,0.69393,1.1195,0.62406,1.0449,0.00060903,0.00060903,0.00060903
12,131.002,1.04421,0.75563,1.05665,0.95613,0.93593,0.94771,0.70216,1.00784,0.64748,1.00951,0.000579033,0.000579033,0.000579033
13,141.186,0.99097,0.69736,1.03948,0.96539,0.91396,0.96797,0.71317,1.02146,0.60481,1.01441,0.000549036,0.000549036,0.000549036
14,151.768,0.99967,0.68747,1.03537,0.97487,0.93105,0.96442,0.69488,1.08378,0.61422,1.04535,0.000519039,0.000519039,0.000519039
15,162.116,0.96647,0.65449,1.02715,0.95163,0.93258,0.96678,0.73635,0.96625,0.57589,0.99946,0.000489042,0.000489042,0.000489042
16,172.485,0.97612,0.64257,1.02763,0.9545,0.92945,0.95547,0.72226,0.98114,0.59883,1.0069,0.000459045,0.000459045,0.000459045
17,182.867,0.94992,0.6347,1.01958,0.97863,0.94534,0.97379,0.72128,0.97192,0.56308,0.98691,0.000429048,0.000429048,0.000429048
18,193.535,0.91772,0.60339,1.00841,0.96804,0.94078,0.95417,0.69965,1.05297,0.60379,1.02384,0.000399051,0.000399051,0.000399051
19,204.527,0.91335,0.59207,1.01297,0.9551,0.91515,0.95507,0.69364,1.03253,0.58839,1.03124,0.000369054,0.000369054,0.000369054
20,215.135,0.89442,0.59102,1.00196,0.97653,0.95475,0.97025,0.72733,0.99691,0.52618,0.99331,0.000339057,0.000339057,0.000339057
21,246.771,0.8269,0.53627,0.96796,0.95383,0.95019,0.96421,0.72313,0.98782,0.54619,0.99986,0.00030906,0.00030906,0.00030906
22,256.801,0.80077,0.50378,0.96156,0.97343,0.92803,0.96505,0.71424,1.01022,0.54638,1.01267,0.000279063,0.000279063,0.000279063
23,266.597,0.78049,0.49022,0.94687,0.97144,0.90025,0.95537,0.71028,1.03841,0.55739,1.03956,0.000249066,0.000249066,0.000249066
24,276.694,0.78163,0.47978,0.94891,0.96552,0.93836,0.96712,0.7277,0.99594,0.53289,1.00457,0.000219069,0.000219069,0.000219069
25,286.884,0.74071,0.46686,0.93498,0.95293,0.95991,0.96471,0.71668,0.98851,0.51562,1.0097,0.000189072,0.000189072,0.000189072
26,297.127,0.72734,0.44803,0.92125,0.95541,0.9525,0.9582,0.72084,0.98625,0.52432,1.01316,0.000159075,0.000159075,0.000159075
27,307.32,0.71041,0.43892,0.9174,0.9692,0.93786,0.96289,0.71261,1.04425,0.5394,1.03926,0.000129078,0.000129078,0.000129078
28,317.664,0.68087,0.42738,0.90509,0.95794,0.93381,0.96041,0.72667,0.96972,0.48684,0.99875,9.9081e-05,9.9081e-05,9.9081e-05
29,327.848,0.66599,0.41639,0.89763,0.97557,0.94795,0.96681,0.73375,0.9601,0.48924,0.99388,6.9084e-05,6.9084e-05,6.9084e-05
30,338.1,0.66292,0.42059,0.90227,0.96009,0.94171,0.96399,0.73126,0.98346,0.50052,1.00555,3.9087e-05,3.9087e-05,3.9087e-05
