epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5727,1.4532,3.24622,1.24175,0.92725,0.19055,0.5815,0.36502,1.20962,2.80977,1.00889,0.000298905,0.000298905,0.000298905
2,20.337,1.34062,1.82403,1.18069,0.82241,0.74525,0.83544,0.54514,1.26692,1.2863,1.05779,0.000595947,0.000595947,0.000595947
3,28.8302,1.30107,1.52952,1.15953,0.90913,0.85986,0.91834,0.61152,1.23078,1.01007,1.09561,0.000886988,0.000886988,0.000886988
4,37.2563,1.27243,1.3587,1.15237,0.87595,0.84691,0.91695,0.64834,1.14576,0.97926,1.07113,0.000882003,0.000882003,0.000882003
5,45.7678,1.24796,1.23693,1.16739,0.95665,0.91646,0.95086,0.63006,1.26554,0.85864,1.15732,0.000873004,0.000873004,0.000873004
6,54.074,1.25588,1.13403,1.16044,0.9814,0.86314,0.95381,0.63692,1.2176,0.81974,1.08254,0.000864004,0.000864004,0.000864004
7,62.4184,1.20843,1.03617,1.14777,0.92761,0.90393,0.94471,0.67413,1.11228,0.8291,1.06005,0.000855005,0.000855005,0.000855005
8,70.687,1.17396,0.94775,1.12322,0.93354,0.90619,0.96032,0.6707,1.19869,0.78899,1.0771,0.000846006,0.000846006,0.000846006
9,79.1379,1.15598,0.88387,1.1221,0.95154,0.88282,0.94762,0.64962,1.13994,0.74008,1.06579,0.000837007,0.000837007,0.000837007
10,87.63,1.11375,0.84283,1.09772,0.96379,0.95414,0.97217,0.64184,1.21668,0.7168,1.07229,0.000828008,0.000828008,0.000828008
11,96.1,1.08488,0.79647,1.08033,0.96382,0.92622,0.95691,0.66223,1.09159,0.68066,1.04868,0.000819009,0.000819009,0.000819009
12,104.675,1.08249,0.75824,1.07899,0.96455,0.92181,0.96083,0.69566,1.05832,0.64547,1.03132,0.00081001,0.00081001,0.00081001
13,113.213,1.04402,0.72606,1.06612,0.96724,0.92589,0.97017,0.66198,1.15779,0.67725,1.10069,0.000801011,0.000801011,0.000801011
14,121.58,1.05159,0.71694,1.06647,0.9624,0.95309,0.97313,0.69856,1.06932,0.59681,1.03753,0.000792012,0.000792012,0.000792012
15,130.011,1.03779,0.68834,1.05406,0.97269,0.93742,0.97365,0.68763,1.0149,0.59939,1.03685,0.000783013,0.000783013,0.000783013
16,138.423,1.01377,0.66131,1.05434,0.96403,0.91382,0.94789,0.69312,1.02953,0.62823,1.02157,0.000774013,0.000774013,0.000774013
17,146.982,1.02498,0.6671,1.05625,0.97248,0.9438,0.96766,0.71503,1.01963,0.57037,1.00904,0.000765014,0.000765014,0.000765014
18,155.635,0.97657,0.63126,1.03922,0.97923,0.93555,0.97493,0.71225,0.999,0.61113,1.01991,0.000756015,0.000756015,0.000756015
19,164.042,0.98253,0.62926,1.04451,0.96408,0.91904,0.96657,0.68908,1.04144,0.5724,1.03553,0.000747016,0.000747016,0.000747016
20,172.541,0.97933,0.63221,1.03679,0.9704,0.93421,0.95565,0.70693,1.03468,0.58593,1.00955,0.000738017,0.000738017,0.000738017
21,180.941,0.98853,0.61128,1.04489,0.9582,0.92331,0.95994,0.69728,1.03941,0.54809,1.01952,0.000729018,0.000729018,0.000729018
22,189.378,0.98893,0.59049,1.04118,0.96169,0.9292,0.96323,0.68552,1.04905,0.56341,1.03282,0.000720019,0.000720019,0.000720019
23,197.819,0.94312,0.58838,1.02852,0.95693,0.96394,0.97438,0.69711,1.05064,0.5582,1.04483,0.00071102,0.00071102,0.00071102
24,206.222,0.97492,0.58652,1.02752,0.97412,0.93362,0.95898,0.71506,1.02597,0.54375,1.03853,0.000702021,0.000702021,0.000702021
25,214.708,0.93982,0.56222,1.01679,0.96317,0.93654,0.96383,0.69774,1.03369,0.55139,1.02839,0.000693022,0.000693022,0.000693022
26,223.234,0.93338,0.56831,1.01372,0.96007,0.94718,0.97254,0.72959,0.98593,0.54353,1.00297,0.000684022,0.000684022,0.000684022
27,231.848,0.91205,0.55895,1.01404,0.96818,0.92425,0.96851,0.70359,1.039,0.54727,1.02643,0.000675023,0.000675023,0.000675023
28,240.42,0.91993,0.55302,1.00769,0.94756,0.92924,0.96821,0.70631,1.02214,0.53911,1.0156,0.000666024,0.000666024,0.000666024
29,248.915,0.89392,0.53506,1.00618,0.96378,0.95474,0.96892,0.71783,1.02651,0.50385,1.00468,0.000657025,0.000657025,0.000657025
30,257.416,0.89711,0.53165,1.00038,0.97469,0.93846,0.97168,0.7041,1.02065,0.52005,1.01205,0.000648026,0.000648026,0.000648026
31,265.986,0.85845,0.5217,0.99778,0.95553,0.94991,0.97727,0.72318,0.9977,0.51068,1.02654,0.000639027,0.000639027,0.000639027
32,274.805,0.87182,0.52072,0.99643,0.98203,0.92687,0.97222,0.71502,1.05128,0.50114,1.03652,0.000630028,0.000630028,0.000630028
33,283.24,0.84829,0.50287,0.97976,0.97163,0.93222,0.96598,0.70383,1.01857,0.517,1.01405,0.000621029,0.000621029,0.000621029
34,291.755,0.85082,0.49681,0.98849,0.96423,0.95353,0.96905,0.70514,1.02901,0.51906,1.03607,0.00061203,0.00061203,0.00061203
35,300.22,0.84215,0.49941,0.98351,0.93101,0.97095,0.97759,0.70738,1.02249,0.51406,1.01287,0.000603031,0.000603031,0.000603031
36,308.759,0.82856,0.49097,0.98232,0.95976,0.94715,0.97524,0.70345,1.03713,0.54034,1.03656,0.000594031,0.000594031,0.000594031
37,317.299,0.85246,0.5041,0.99355,0.98135,0.94957,0.97904,0.71262,1.05777,0.52735,1.04558,0.000585032,0.000585032,0.000585032
38,326.024,0.83544,0.48754,0.98776,0.96086,0.95939,0.97448,0.72545,1.03128,0.51296,1.03205,0.000576033,0.000576033,0.000576033
39,334.874,0.85625,0.50927,0.98913,0.97382,0.95187,0.97646,0.71325,1.0159,0.503,1.01934,0.000567034,0.000567034,0.000567034
40,343.348,0.80855,0.48047,0.97397,0.95342,0.96376,0.97603,0.71682,1.00412,0.48199,1.01194,0.000558035,0.000558035,0.000558035
41,351.785,0.81566,0.4753,0.96951,0.94901,0.94364,0.97606,0.68337,1.11652,0.53457,1.0604,0.000549036,0.000549036,0.000549036
42,360.354,0.78852,0.46702,0.95433,0.98089,0.9499,0.97766,0.7023,1.04672,0.51317,1.0309,0.000540037,0.000540037,0.000540037
43,368.849,0.7858,0.46048,0.96084,0.96903,0.96355,0.97571,0.69962,1.04909,0.50536,1.02498,0.000531038,0.000531038,0.000531038
44,377.322,0.79077,0.45798,0.96638,0.96545,0.94344,0.97236,0.715,0.99814,0.48965,1.01949,0.000522039,0.000522039,0.000522039
45,385.747,0.77775,0.45292,0.95915,0.98033,0.9581,0.97955,0.71439,0.99352,0.4675,1.00916,0.00051304,0.00051304,0.00051304
46,394.258,0.78384,0.44977,0.95955,0.97598,0.94836,0.97244,0.70991,1.01832,0.50882,1.02978,0.00050404,0.00050404,0.00050404
47,402.718,0.76579,0.44716,0.95659,0.96751,0.966,0.98387,0.70592,1.03356,0.49325,1.02779,0.000495041,0.000495041,0.000495041
48,411.071,0.76342,0.45042,0.95505,0.95992,0.96604,0.97398,0.71034,1.05517,0.49265,1.0335,0.000486042,0.000486042,0.000486042
49,419.444,0.73828,0.43565,0.94633,0.96611,0.94578,0.975,0.70564,1.0711,0.49396,1.05812,0.000477043,0.000477043,0.000477043
50,427.842,0.74625,0.43556,0.94688,0.96776,0.96341,0.97899,0.72287,1.02043,0.47828,1.02648,0.000468044,0.000468044,0.000468044
51,436.271,0.747,0.43255,0.9533,0.96572,0.94997,0.98087,0.72375,1.01415,0.46871,1.02112,0.000459045,0.000459045,0.000459045
52,444.906,0.73897,0.42934,0.94069,0.97409,0.93439,0.97059,0.71748,1.02095,0.49555,1.03567,0.000450046,0.000450046,0.000450046
53,453.463,0.72406,0.41639,0.93353,0.96654,0.94682,0.97806,0.73499,0.98962,0.46903,1.01383,0.000441047,0.000441047,0.000441047
54,461.929,0.71415,0.41703,0.93693,0.96469,0.94098,0.973,0.7261,1.01324,0.48735,1.02568,0.000432048,0.000432048,0.000432048
55,470.419,0.7241,0.42081,0.94462,0.97603,0.95012,0.97635,0.73083,1.01148,0.47609,1.02207,0.000423049,0.000423049,0.000423049
56,478.886,0.72186,0.42043,0.93597,0.97034,0.97355,0.97247,0.74017,0.97177,0.45398,1.01401,0.000414049,0.000414049,0.000414049
57,487.386,0.70718,0.40811,0.93117,0.98252,0.94086,0.97521,0.72442,0.96814,0.47492,1.02372,0.00040505,0.00040505,0.00040505
58,495.862,0.69903,0.40405,0.93068,0.96854,0.95782,0.9779,0.7371,0.97004,0.47053,1.01701,0.000396051,0.000396051,0.000396051
59,504.374,0.69284,0.41731,0.93563,0.98152,0.96075,0.98163,0.7153,1.02138,0.49237,1.0308,0.000387052,0.000387052,0.000387052
60,512.953,0.70392,0.40693,0.92977,0.97515,0.96158,0.97829,0.72858,0.99462,0.47096,1.01047,0.000378053,0.000378053,0.000378053
61,521.359,0.67601,0.40298,0.92215,0.98162,0.94901,0.98107,0.72914,0.99291,0.4762,1.02139,0.000369054,0.000369054,0.000369054
62,529.714,0.68934,0.39449,0.9274,0.96325,0.9546,0.97417,0.73108,1.01411,0.46931,1.04133,0.000360055,0.000360055,0.000360055
63,538.214,0.68213,0.40115,0.92596,0.97802,0.96073,0.97628,0.74808,0.9807,0.45686,1.00798,0.000351056,0.000351056,0.000351056
64,546.619,0.6759,0.39067,0.9254,0.98017,0.97377,0.98029,0.72071,1.02731,0.4536,1.03157,0.000342057,0.000342057,0.000342057
65,555.002,0.68092,0.39327,0.92385,0.98276,0.96156,0.97895,0.73709,0.99668,0.44529,1.01456,0.000333058,0.000333058,0.000333058
66,563.56,0.67678,0.39277,0.92225,0.96598,0.96855,0.97813,0.72299,1.02237,0.45419,1.04523,0.000324058,0.000324058,0.000324058
67,572.091,0.65781,0.3825,0.90912,0.96722,0.95444,0.97367,0.72114,0.99255,0.46357,1.02417,0.000315059,0.000315059,0.000315059
68,580.472,0.65289,0.37949,0.91595,0.97312,0.9652,0.98319,0.72762,0.98824,0.45929,1.02568,0.00030606,0.00030606,0.00030606
69,588.939,0.63783,0.37477,0.90704,0.97317,0.95755,0.97821,0.72039,1.01048,0.46174,1.02565,0.000297061,0.000297061,0.000297061
70,597.38,0.63069,0.37154,0.90882,0.95818,0.96774,0.98084,0.72699,0.99065,0.46172,1.02749,0.000288062,0.000288062,0.000288062
71,605.884,0.64211,0.38231,0.91101,0.96922,0.96554,0.97457,0.72068,1.05105,0.47765,1.0652,0.000279063,0.000279063,0.000279063
72,614.289,0.63746,0.37603,0.90714,0.98134,0.94259,0.98253,0.72721,1.01219,0.45177,1.05792,0.000270064,0.000270064,0.000270064
73,622.705,0.63086,0.36229,0.90498,0.97792,0.95307,0.97978,0.7214,1.01574,0.46969,1.03545,0.000261065,0.000261065,0.000261065
74,631.122,0.63377,0.37089,0.91079,0.98402,0.9523,0.97636,0.73162,0.99329,0.44349,1.01552,0.000252066,0.000252066,0.000252066
75,639.666,0.62222,0.36715,0.90315,0.96969,0.96233,0.98462,0.73294,0.99262,0.45008,1.01933,0.000243067,0.000243067,0.000243067
76,648.052,0.60852,0.35566,0.903,0.98073,0.94742,0.98287,0.74513,0.95938,0.43195,1.00553,0.000234068,0.000234068,0.000234068
77,656.585,0.60015,0.34866,0.89624,0.98253,0.94787,0.98095,0.71659,1.02795,0.45427,1.05413,0.000225068,0.000225068,0.000225068
